project_id,fiscal_year,member_name,state,district,recipient_name,project_description,amount_requested,award_id,award_amount,award_year,awarding_agency,match_score,match_status
earmark_000073,2022,Troy Balderson,,,,Meadow Center Capital Project,750000,,,,,,missing_recipient
earmark_000074,2022,Troy Balderson,,,,City of Pataskala Safe Travel Plan,135000,,,,,,missing_recipient
earmark_000075,2022,Troy Balderson,,,,Franklin County Engineer's Office Reynoldsburg-New Albany Road at Havens Road Project,1500000,,,,,,missing_recipient
earmark_000076,2022,Troy Balderson,,,,United Way of Delaware County Youth Transitional Housing Project,750000,,,,,,missing_recipient
earmark_000077,2022,Troy Balderson,,,,Avondale Youth Center,450000,,,,,,missing_recipient
earmark_000078,2022,Andy Barr,,,,Menifee County School s Security Project,528653,,,,,,missing_recipient
earmark_000079,2022,Andy Barr,,,,Sanitary Sewer Overflow Elimination and Sewer Extension Project,750000,,,,,,missing_recipient
earmark_000080,2022,Andy Barr,,,,Farmdale Sanitation District Interceptor Sewer System,11200000,,,,,,missing_recipient
earmark_000081,2022,Andy Barr,,,,"Cybersecurity/IT Workforce Development in Frankfort/Franklin County, Kentucky.",437500,,,,,,missing_recipient
earmark_000082,2022,Andy Barr,,,,Eastern Kentucky University Center for STEM Excellence,504900,,,,,,missing_recipient
earmark_000083,2022,Andy Barr,,,,The Post Clinic Project,984812,,,,,,missing_recipient
earmark_000084,2022,Andy Barr,,,,The Barrier Free Re-Entry and Recovery Initiative (BFREE),616704,,,,,,missing_recipient
earmark_000085,2022,Andy Barr,,,,Improved Access via Economy Road from KY-52 to the Central Kentucky Regional Airport,12255200,,,,,,missing_recipient
earmark_000086,2022,Andy Barr,,,,"Blanton s Landing Revitalization in Frankfort, KY",1000000,,,,,,missing_recipient
earmark_000087,2022,Andy Barr,,,,Prep Academy at William Wells Brown,3221600,,,,,,missing_recipient
earmark_000088,2022,Nanette Barragan,,,,Toberman Neighborhood Center San Pedro Violence Interruption through Gang Deterrence Program,1000000,,,,,,missing_recipient
earmark_000089,2022,Nanette Barragan,,,,Michelle Obama Library Long Beach Services Expansion,250000,,,,,,missing_recipient
earmark_000090,2022,Nanette Barragan,,,,East Los Angeles College South Gate Campus Southeast Training Hub in Healthcare Careers,920000,,,,,,missing_recipient
earmark_000091,2022,Nanette Barragan,,,,Boys & Girls Clubs of the Los Angeles Harbor Wilmington College Bound Program,500000,,,,,,missing_recipient
earmark_000092,2022,Nanette Barragan,,,,"Cal State Dominguez Hills College of Health, Human Services and Nursing Clinical Skills Laboratory Equipment Upgrade",691680,,,,,,missing_recipient
earmark_000093,2022,Nanette Barragan,,,,BANJ Health Center Lynwood and Compton Uninsured Patient Care Program,50000,,,,,,missing_recipient
earmark_000094,2022,Nanette Barragan,,,,San Pedro Harbor Community Health Centers Clinic at Linc Housing Project,1000000,,,,,,missing_recipient
earmark_000095,2022,Nanette Barragan,,,,City of Los Angeles Watts Greening Public Housing for the Future,860000,,,,,,missing_recipient
earmark_000096,2022,Nanette Barragan,,,,HOPICS Community Homeless and Housing Services Access Center,250000,,,,,,missing_recipient
earmark_000097,2022,Nanette Barragan,,,,YWCA Harbor Area San Pedro Permanent Supportive Housing,2000000,,,,,,missing_recipient
earmark_000098,2022,Karen Bass,,,,A New Way of Life Safe Homes - Women's Reentry and Economic Development Initiative,250000,,,,,,missing_recipient
earmark_000099,2022,Karen Bass,,,,"Brotherhood Crusade and 2nd Call: Answering the Second Call--A Holistic, Culturally-Responsive, Trauma-Informed Re-Entry Program",220000,,,,,,missing_recipient
earmark_000100,2022,Karen Bass,,,,Urban Peace Institute and Chapter TWO: South Los Angeles Peace Ambassadors,220000,,,,,,missing_recipient
earmark_000101,2022,Karen Bass,,,,YWCA Greater Los Angeles Sexual Assault Response Team Project (SART),300000,,,,,,missing_recipient
earmark_000102,2022,Karen Bass,,,,AADAP Olympia Academy Residential Substance Abuse Treatment for Pregnant and Parenting Women,250000,,,,,,missing_recipient
earmark_000103,2022,Karen Bass,,,,PCS Castle Program Substance Use Disorder Prevention and Treatment Facility Renovation,600000,,,,,,missing_recipient
earmark_000104,2022,Karen Bass,,,,Jenesse Center Healthy Family and Community Project,1000000,,,,,,missing_recipient
earmark_000105,2022,Karen Bass,,,,Destination Crenshaw,1000000,,,,,,missing_recipient
earmark_000106,2022,Karen Bass,,,,Ward EDC King Solomon Village Interim Housing,1000000,,,,,,missing_recipient
earmark_000107,2022,Karen Bass,,,,St. Joseph Center Workforce Development Training Programs for Low Income Adults,500000,,,,,,missing_recipient
earmark_000108,2022,Joyce Beatty,,,,Safe Shelter for Victims of Domestic Violence,750000,,,,,,missing_recipient
earmark_000109,2022,Joyce Beatty,,,,Central Ohio Youth Homelessness Support for Victims of Crime,610000,,,,,,missing_recipient
earmark_000110,2022,Joyce Beatty,,,,STEM 2022 - Equity in the STEM Workforce,500000,,,,,,missing_recipient
earmark_000111,2022,Joyce Beatty,,,,Next Generation Sequencing Equipment,500000,,,,,,missing_recipient
earmark_000112,2022,Joyce Beatty,,,,Neigborhood Health Center,500000,,,,,,missing_recipient
earmark_000113,2022,Joyce Beatty,,,,"Race, Inclusion, and Social Equity (RAISE) Institute",482500,,,,,,missing_recipient
earmark_000114,2022,Joyce Beatty,,,,Mobile Outreach Vehicle (MOVe),150000,,,,,,missing_recipient
earmark_000115,2022,Joyce Beatty,,,,Franklin County Mental Health and Addiction Crisis Center,500000,,,,,,missing_recipient
